Complete Configuration Data
======================================================================
Index | B1_x B1_y | B2_x B2_y | g(1) | g(2)
----------------------------------------------------------------------
    0 |    4    1 |    9    8 |    8 |   28
    1 |    8    5 |    4   18 |    8 |   28
    2 |    3   19 |   14    2 |    8 |   28
    3 |    1    3 |    7    8 |    8 |   27
    4 |   17   20 |    1   18 |    8 |   28
    5 |    7   18 |   14    8 |    8 |   28
    6 |   15   19 |    9    1 |    8 |   28
    7 |    6   14 |   11    9 |    8 |   28
    8 |    5    7 |   11    4 |    8 |   28
    9 |    3   13 |    4   12 |    7 |   23
   10 |   12   20 |    9    2 |    8 |   28
   11 |   15   18 |    4   13 |    8 |   28
   12 |    3   18 |   10   20 |    8 |   28
   13 |   12   19 |    7    3 |    8 |   28
   14 |    2    8 |   10    3 |    8 |   28
   15 |    8    4 |   13    9 |    8 |   28
   16 |   15   12 |    6   12 |    8 |   28
   17 |   12    7 |    9    3 |    8 |   28
   18 |   20    6 |   18    8 |    8 |   28
   19 |    6   15 |   13    9 |    8 |   28
   20 |   18    8 |   11    2 |    8 |   28
   21 |    8    2 |   11   13 |    8 |   28
   22 |    9    3 |    7   19 |    8 |   28
   23 |   11    7 |   16   13 |    8 |   28
   24 |   15    5 |    9    5 |    8 |   28
   25 |    8   18 |   18    9 |    8 |   28
   26 |   19   14 |   19   13 |    7 |   23
   27 |   12    8 |    5   17 |    8 |   28
   28 |   16    3 |    2    4 |    8 |   28
   29 |    5    6 |   14   20 |    8 |   28
   30 |    3   13 |   13   20 |    8 |   28
   31 |   15   17 |    9   18 |    8 |   28
   32 |    1    4 |   18    9 |    8 |   28
   33 |   11    4 |   10   14 |    8 |   28
   34 |    6   15 |    1    9 |    8 |   28
   35 |   17    6 |   17    4 |    8 |   28
   36 |   10   17 |   20    7 |    8 |   28
   37 |    5   12 |    6   18 |    7 |   23
   38 |   17    1 |   20   11 |    8 |   28
   39 |   16    1 |    4   12 |    8 |   28
   40 |   10    8 |    2    8 |    8 |   28
   41 |   19    3 |    3   16 |    8 |   28
   42 |    3   18 |    5    5 |    8 |   28
   43 |   16   18 |    6    9 |    8 |   28
   44 |   17   20 |   14    7 |    8 |   28
   45 |   18    7 |   10   13 |    8 |   28
   46 |   12   15 |   17   15 |    8 |   28
   47 |    4    8 |    8    3 |    8 |   28
   48 |   11    1 |   19   18 |    8 |   28
   49 |    8   19 |    8    1 |    8 |   28
   50 |    3    2 |    8    3 |    8 |   28
   51 |    2   11 |    3   17 |    8 |   28
   52 |    8    9 |   16    7 |    8 |   28
   53 |   18    5 |   19   19 |    8 |   28
   54 |   16    8 |   16   14 |    8 |   28
   55 |    7    4 |    4   14 |    8 |   28
   56 |   12   14 |   14   15 |    8 |   28
   57 |    2    4 |    2   13 |    8 |   28
   58 |   11    4 |    8    7 |    8 |   28
   59 |    7   18 |   15    5 |    8 |   28
   60 |   14    6 |    9   15 |    8 |   28
   61 |    8    3 |   15   18 |    8 |   28
   62 |    4    2 |   18    1 |    8 |   28
   63 |    3    8 |    6   14 |    7 |   23
   64 |   16   16 |    7   13 |    8 |   28
   65 |    2    6 |   13    1 |    8 |   28
   66 |   13    9 |   15   10 |    8 |   28
   67 |   14   18 |   16    5 |    8 |   28
   68 |    7   10 |    7    2 |    8 |   27
   69 |   19   18 |    2   11 |    8 |   28
   70 |    2    2 |   19   16 |    8 |   28
   71 |   17   17 |    6    2 |    8 |   28
   72 |   17    3 |    6    3 |    8 |   28
   73 |   20    3 |    8   13 |    8 |   28
   74 |    4   19 |    8   19 |    8 |   28
   75 |   20    2 |   20    3 |    7 |   23
   76 |   14   19 |   19   17 |    8 |   28
   77 |   11    9 |    7   11 |    8 |   28
   78 |    8    9 |   13    5 |    8 |   28
   79 |   10   15 |   11    3 |    8 |   28
   80 |    1   15 |   20   19 |    8 |   28
   81 |    4    3 |   18    7 |    8 |   28
   82 |   17    9 |    5   12 |    8 |   28
   83 |    3    8 |   12   10 |    8 |   28
   84 |    6   15 |   18   10 |    8 |   28
   85 |   20   17 |    1   18 |    8 |   28
   86 |   10    4 |    5    9 |    8 |   28
   87 |    4    4 |   18    5 |    8 |   28
   88 |    9   10 |   20    7 |    8 |   28
   89 |   11    7 |    9   17 |    8 |   28
   90 |   16    9 |    2    3 |    8 |   27
   91 |   14    9 |    2    1 |    8 |   28
   92 |   11    5 |    9    6 |    8 |   28
   93 |   15   18 |   14   18 |    7 |   23
   94 |    1    4 |    3    5 |    8 |   28
   95 |   18    2 |   12   19 |    8 |   28
   96 |   18    5 |   14    5 |    8 |   28
   97 |    2   10 |   12    2 |    8 |   28
   98 |   12    7 |    8    4 |    7 |   23
   99 |   12   18 |   14   20 |    8 |   28
  100 |    5    8 |    6    6 |    8 |   28
  101 |   14    1 |    6   11 |    8 |   28
  102 |   14    8 |    9    6 |    8 |   27
  103 |    4   13 |    2   16 |    8 |   28
  104 |    8    7 |   15   12 |    8 |   28
  105 |   10    8 |    8    1 |    8 |   28
  106 |    7   13 |   11    9 |    8 |   28
  107 |    3    9 |   12   17 |    8 |   28
  108 |   13   18 |   11    1 |    8 |   28
  109 |    4    9 |    6   19 |    7 |   23
  110 |    9    2 |    4   20 |    8 |   28
  111 |   14   12 |   11   14 |    8 |   28
  112 |   20   17 |    4   13 |    8 |   28
  113 |   19    7 |    9    2 |    8 |   28
  114 |   14    1 |   17   18 |    8 |   28
  115 |    7   12 |   14    3 |    8 |   28
  116 |   11   20 |   11    4 |    8 |   28
  117 |   10   17 |   10   14 |    8 |   28
  118 |   11   13 |   10   18 |    8 |   28
  119 |    5    7 |   14   13 |    8 |   28
  120 |    6   20 |   19   10 |    8 |   28
  121 |   13   18 |    1   10 |    8 |   28
  122 |   10    7 |   14   19 |    8 |   28
  123 |   20   11 |   15   15 |    8 |   28
  124 |   15    7 |   17   16 |    8 |   28
  125 |    6    3 |   10   17 |    8 |   28
  126 |   20   11 |    3    8 |    8 |   28
  127 |   10    8 |    7    5 |    8 |   28
  128 |    1    2 |    8   16 |    4 |    8
  129 |   20    3 |   15   14 |    8 |   28
  130 |   19    7 |   13   16 |    8 |   28
  131 |   13    8 |    5    1 |    8 |   28
  132 |    4   14 |    8    6 |    8 |   28
  133 |   17   15 |    2   18 |    8 |   28
  134 |    8    4 |   15    5 |    8 |   28
  135 |   15   17 |   18   20 |    8 |   28
  136 |   11   15 |   20   17 |    8 |   28
  137 |   14   18 |   15    6 |    8 |   28
  138 |   16   15 |    9    8 |    4 |    8
  139 |    9   17 |   16    8 |    8 |   28
  140 |    9   15 |    3   10 |    8 |   28
  141 |    8    9 |   11   11 |    7 |   23
  142 |   18    3 |    5    5 |    8 |   28
  143 |    8   13 |    5    7 |    8 |   28
  144 |    3   14 |   14   11 |    8 |   28
  145 |   18   15 |   14    2 |    8 |   28
  146 |    7   14 |   13   19 |    8 |   28
  147 |    1   19 |   13   16 |    8 |   28
  148 |    1   12 |   10   13 |    8 |   28
  149 |   14   18 |   18   20 |    8 |   28
  150 |    8   16 |    8    9 |    8 |   28
  151 |   14   16 |    1   13 |    8 |   28
  152 |   11   13 |    6   15 |    8 |   28
  153 |    5   20 |   18    1 |    8 |   28
  154 |   13   19 |   19    1 |    8 |   28
  155 |    3   14 |    5   15 |    8 |   28
  156 |    6    2 |    9   13 |    8 |   27
  157 |   11    7 |   15   11 |    8 |   28
  158 |   11   13 |    9   14 |    8 |   28
  159 |    9    3 |   16    1 |    8 |   28
  160 |   18    2 |   12    8 |    8 |   28
  161 |    3    2 |    1    8 |    8 |   28
  162 |    7    1 |   20    5 |    8 |   28
  163 |    8    5 |   16    4 |    8 |   28
  164 |   19    7 |   15    9 |    8 |   28
  165 |   12    6 |   20   20 |    8 |   28
  166 |    4    6 |   10    4 |    8 |   28
  167 |   19    1 |   10   19 |    8 |   28
  168 |   13   13 |    7    3 |    8 |   28
  169 |   19    8 |    4   10 |    8 |   28
  170 |   20    4 |   19    2 |    8 |   28
  171 |   12   18 |   14   12 |    8 |   28
  172 |    3   17 |   11    1 |    8 |   28
  173 |   14   16 |    4   14 |    8 |   28
  174 |   12   15 |    5   14 |    8 |   28
  175 |    6   17 |    9   20 |    8 |   28
  176 |   18   16 |   15   14 |    8 |   28
  177 |   19    9 |   11    8 |    8 |   28
  178 |    3    9 |   15    8 |    8 |   28
  179 |   15   19 |   20   13 |    8 |   28
  180 |   11    1 |   16   11 |    8 |   28
  181 |    6   16 |    7   12 |    8 |   28
  182 |    9   11 |    9   20 |    8 |   28
  183 |    9   18 |    1   17 |    8 |   28
  184 |    7    3 |    8   14 |    8 |   28
  185 |   16   18 |    8   16 |    8 |   28
  186 |   16   15 |    1    3 |    8 |   28
  187 |   10    8 |   13    8 |    8 |   28
  188 |   10   19 |   12   16 |    8 |   28
  189 |   18   17 |   12   14 |    8 |   28
  190 |   18   11 |   12   15 |    8 |   28
  191 |    9   10 |    9    8 |    7 |   23
  192 |    4    7 |   11    4 |    8 |   28
  193 |   18    6 |    7    7 |    8 |   28
  194 |   16    9 |   19   17 |    8 |   28
  195 |   20   10 |    4    7 |    8 |   28
  196 |   10    8 |   12    6 |    8 |   27
  197 |   10    1 |   18    5 |    8 |   28
  198 |    9    2 |    2   18 |    8 |   28
  199 |   10    5 |   16    4 |    8 |   28
  200 |    1   19 |   10   16 |    8 |   28
  201 |   16   15 |   11    6 |    8 |   28
  202 |    2    9 |   16    4 |    8 |   28
  203 |    3   13 |   16    3 |    8 |   28
  204 |   19    2 |    5    5 |    8 |   28
  205 |   19   10 |    3    8 |    8 |   28
  206 |    4   18 |   14   20 |    8 |   28
  207 |   20   20 |    8   17 |    8 |   28
  208 |   13   15 |   15   10 |    8 |   28
  209 |   19   14 |   10   19 |    8 |   28
  210 |   20    2 |   20    4 |    8 |   28
  211 |    7    7 |    9    3 |    8 |   28
  212 |    6    8 |    6   18 |    8 |   28
  213 |    3    6 |    1   14 |    8 |   28
  214 |   15   20 |   16   10 |    8 |   28
  215 |    2    8 |   10   10 |    8 |   28
  216 |   15    3 |    8    9 |    8 |   28
  217 |   19    7 |   14    4 |    8 |   28
  218 |   18    8 |    5    9 |    8 |   28
  219 |    5    3 |    2    6 |    8 |   27
  220 |   10   20 |   19   10 |    8 |   28
  221 |   15    4 |   15   10 |    8 |   27
  222 |   13    9 |   17   18 |    8 |   28
  223 |   16   15 |    3   20 |    8 |   28
  224 |    2   14 |   11   20 |    8 |   28
  225 |    9    1 |    3    8 |    8 |   28
  226 |   19   19 |    1    9 |    8 |   28
  227 |   19    2 |    6   16 |    8 |   28
  228 |   17   15 |    9    6 |    8 |   28
  229 |   19   14 |   16    3 |    8 |   28
  230 |   16   12 |   14   11 |    8 |   28
  231 |   11    4 |    6   11 |    8 |   28
  232 |   14   16 |   10   13 |    8 |   28
  233 |   18    2 |   15    3 |    8 |   28
  234 |   11    9 |   11    4 |    8 |   28
  235 |   13   17 |    1   18 |    8 |   28
  236 |   15   14 |    2    7 |    8 |   28
  237 |   17   12 |   20   16 |    7 |   23
  238 |   15    2 |    7    9 |    8 |   28
  239 |   18    5 |   10   15 |    8 |   28
  240 |   16    4 |    1   20 |    8 |   28
  241 |    8    6 |   10   18 |    8 |   28
  242 |    1   18 |   14    3 |    8 |   28
  243 |    8    4 |   15    4 |    8 |   28
  244 |    5   16 |   10   17 |    8 |   28
  245 |    9   14 |   16   16 |    8 |   28
  246 |    8   15 |   18    5 |    8 |   28
  247 |   13    7 |   20   17 |    8 |   28
  248 |    5    3 |    9   14 |    8 |   28
  249 |   11   17 |    9    1 |    8 |   28
  250 |   10   10 |   19   19 |    4 |    8
  251 |   16    5 |   15   18 |    8 |   28
  252 |   16   12 |   11   18 |    8 |   28
  253 |   18   13 |   15   11 |    4 |    8
  254 |    7    8 |   19   13 |    8 |   28
  255 |    8   14 |    2   11 |    8 |   28
  256 |   16   13 |   13    5 |    8 |   28
  257 |   16    2 |    5   17 |    8 |   28
  258 |   19   11 |    4   15 |    8 |   28
  259 |    4   17 |   15    1 |    8 |   28
  260 |    5   14 |    5    3 |    8 |   28
  261 |   16    9 |   11   20 |    8 |   28
  262 |   13    3 |   11   18 |    8 |   28
  263 |   13   11 |   16   18 |    8 |   28
  264 |    2   20 |    3    8 |    8 |   28
  265 |   10    8 |    3   14 |    8 |   28
  266 |    4    4 |   15    6 |    8 |   28
  267 |   10    1 |    2   11 |    8 |   28
  268 |    2   10 |   12   12 |    8 |   28
  269 |   14    5 |    8   17 |    8 |   28
  270 |   14   19 |    6    6 |    8 |   28
  271 |    6    3 |   20   13 |    7 |   23
  272 |   20    8 |   16   19 |    8 |   28
  273 |    5    8 |   15    9 |    8 |   28
  274 |   15    9 |    1   15 |    8 |   28
  275 |   10   18 |    6    3 |    8 |   28
  276 |   15   12 |   19   10 |    8 |   28
  277 |   14    9 |   15   10 |    8 |   28
  278 |    7   13 |   16    4 |    8 |   28
  279 |    8   13 |   19   12 |    8 |   28
  280 |   19   10 |   10    1 |    8 |   28
  281 |   13    9 |    1   19 |    8 |   28
  282 |    2   20 |   16   10 |    8 |   28
  283 |    8   20 |   12    8 |    8 |   28
  284 |    7   20 |    9    5 |    8 |   28
  285 |    4    2 |   10   15 |    8 |   28
  286 |    2   19 |   12    5 |    8 |   28
  287 |    3   10 |   11   14 |    8 |   28
  288 |    6    7 |    5   18 |    8 |   28
  289 |   12   17 |   17    9 |    8 |   28
  290 |    6    9 |   16   10 |    8 |   28
  291 |   11    4 |   15    3 |    8 |   28
  292 |    5    8 |   13   18 |    8 |   28
  293 |   12    3 |   13    1 |    8 |   28
  294 |    9   18 |    4   15 |    8 |   28
  295 |   12    9 |   19   13 |    8 |   28
  296 |   12    4 |    8   16 |    8 |   28
  297 |    1   20 |   18   11 |    8 |   28
  298 |   20    8 |    3   15 |    8 |   28
  299 |   10   14 |    4    5 |    8 |   28
  300 |    2    2 |   10   16 |    8 |   28
  301 |    4    4 |    8   18 |    8 |   28
  302 |    5   13 |   15   12 |    8 |   28
  303 |   18   14 |   19    5 |    8 |   28
  304 |   14    4 |   16   20 |    8 |   28
  305 |   14    9 |    2   12 |    8 |   28
  306 |    7   15 |   15    8 |    8 |   28
  307 |   12    4 |   12   18 |    8 |   28
  308 |   12    2 |   13    9 |    8 |   28
  309 |    7    4 |   15    3 |    8 |   28
  310 |    7   20 |    1    2 |    8 |   28
  311 |   11    8 |    5   19 |    8 |   28
  312 |    7    3 |   18    7 |    8 |   28
  313 |   19    7 |    8   11 |    8 |   28
  314 |    5   20 |    1    9 |    8 |   28
  315 |    5    5 |   18    9 |    8 |   28
  316 |    6    4 |    1    5 |    8 |   28
  317 |    1   12 |    8   19 |    8 |   28
  318 |   11    1 |    6    9 |    8 |   28
  319 |    2    5 |   14   17 |    8 |   28
  320 |    4    3 |   16   15 |    4 |    8
  321 |   12   17 |   19    4 |    8 |   28
  322 |   15   17 |    8   20 |    8 |   28
  323 |    2   17 |   10   15 |    8 |   28
  324 |    1    2 |   16   13 |    8 |   28
  325 |   14    4 |   16   15 |    8 |   28
  326 |    3    3 |   11   20 |    8 |   28
  327 |    5    3 |    5    9 |    8 |   28
  328 |   20   19 |   18   11 |    8 |   28
  329 |   13   20 |   17   10 |    8 |   28
  330 |   15   17 |   20   14 |    8 |   28
  331 |    4    4 |   18    7 |    8 |   28
  332 |   14   15 |    8   14 |    8 |   28
  333 |   11   15 |   13   14 |    8 |   28
  334 |    4   11 |   14   11 |    8 |   28
  335 |    9   12 |    5   16 |    8 |   28
  336 |   14    4 |   12    5 |    8 |   28
  337 |   18    2 |   19   18 |    8 |   28
  338 |   18   11 |    4   14 |    8 |   28
  339 |   12   14 |    2   10 |    8 |   28
  340 |   20   10 |   12    4 |    8 |   28
  341 |   19   17 |    7    5 |    8 |   28
  342 |   16    8 |    4   12 |    8 |   28
  343 |   18   12 |    4    9 |    8 |   28
  344 |   19    8 |   14   18 |    8 |   28
